question,options,answer,answer_idx,dataset_source
A 20-year-old man comes to the physician because of worsening gait unsteadiness and bilateral hearing loss for 1 month. He has had intermittent tingling sensations on both cheeks over this time period. He has no history of serious medical illness and takes no medications. Audiometry shows bilateral sensorineural hearing loss. Genetic evaluation shows a mutation of a tumor suppressor gene on chromosome 22 that encodes merlin. This patient is at increased risk for which of the following conditions?,"{""A"": ""Renal cell carcinoma"", ""B"": ""Meningioma"", ""C"": ""Astrocytoma"", ""D"": ""Vascular malformations""}",Meningioma,B,Med-QA
"A 62-year-old patient has been hospitalized for a week due to a stroke. One week into the hospitalization, he develops a fever and purulent cough. His vitals include: heart rate 88/min, respiratory rate 20/min, temperature 38.4°C (101.1°F), and blood pressure 110/85 mm Hg. On physical examination, he has basal crackles on the right side of the chest. Chest radiography shows a new consolidation on the same side. Complete blood count is as follows:
Hemoglobin 16 mg/dL
Hematocrit 50%
Leukocyte count 8,900/mm3
Neutrophils 72%
Bands 4%
Eosinophils 2%
Basophils 0%
Lymphocytes 17%
Monocytes 5%
Platelet count 280,000/mm3
What is the most likely causal microorganism?","{""A"": ""Streptococcus pneumoniae"", ""B"": ""Mycobacterium tuberculosis"", ""C"": ""Haemophilus influenzae"", ""D"": ""Staphylococcus aureus""}",Staphylococcus aureus,D,Med-QA
"A 26-year-old woman presents to a gynecologist after a missed period. After performing a complete physical examination and a screening test for pregnancy, her gynecologist informs her that she is pregnant. She is very surprised as she has been taking oral contraceptives regularly. When the gynecologist asks her about the consumption of any other medications, she mentions that she was placed on treatment for pulmonary tuberculosis (TB) 2 months ago. Her current anti-TB regimen includes rifampin, isoniazid, pyrazinamide, and ethambutol. Which of the following mechanisms best explains the failure of oral contraceptives in this patient?","{""A"": ""Induction of CYP3A4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone"", ""B"": ""Induction of CYP2A6 by rifampin leading to increased inactivation of ethinylestradiol"", ""C"": ""Interference with the intestinal absorption of the oral contraceptive by pyrazinamide"", ""D"": ""Increased renal elimination of the progesterone component of the oral contraceptive by ethambutol""}",Induction of CYP3A4 by rifampin leading to decreased serum levels of ethinylestradiol and progesterone,A,Med-QA
"A 42-year-old woman comes to the emergency department because of a 2-day history of right upper abdominal pain and nausea. She is 163 cm (5 ft 4 in) tall and weighs 91 kg (200 lb); her BMI is 34 kg/m2. Her temperature is 38.5°C (101.3°F). Physical examination shows a distended abdomen and right upper quadrant tenderness with normal bowel sounds. Laboratory studies show:
Leukocyte count 14,000/mm3
Serum
Total bilirubin 1.1 mg/dL
AST 32 U/L
ALT 40 U/L
Alkaline phosphatase 68 U/L
Abdominal ultrasonography is performed, but the results are inconclusive. Cholescintigraphy shows the intrahepatic bile ducts, hepatic ducts, common bile duct, and proximal small bowel. Which of the following is the most likely cause of this patient's symptoms?""","{""A"": ""Autodigestion of pancreatic parenchyma"", ""B"": ""Fistula between the gallbladder and small intestine"", ""C"": ""Infection with a hepatotropic virus"", ""D"": ""Obstruction of the cystic duct""}",Obstruction of the cystic duct,D,Med-QA
A 72-year-old woman is admitted to the intensive care unit for shortness of breath and palpitations. A cardiac catheterization is performed and measurements of the left ventricular volume and pressure at different points in the cardiac cycle are obtained. The patient's pressure-volume loop (gray) is shown with a normal pressure-volume loop (black) for comparison. Which of the following is the most likely underlying cause of this patient's symptoms?,"{""A"": ""Mitral valve regurgitation"", ""B"": ""Increased systemic vascular resistance"", ""C"": ""Increased ventricular wall stiffness"", ""D"": ""Impaired left ventricular contractility""}",Increased ventricular wall stiffness,C,Med-QA
"А 43-уеаr-old mаn рrеѕеntѕ wіth tіnglіng аnd numbnеѕѕ of the lowеr lіmbѕ for 2 wееkѕ. Не also сomрlаіnѕ of реrѕіѕtеnt раіn in his legs whісh is not relieved by over-the-counter analgesics. Past medical history is significant for type 2 dіаbеtes mellitus for 2 уеаrѕ, inconsistently managed with mеtformіn аnd glіmеріrіdе. Оn physical ехаmіnаtіon, thеrе іѕ dесrеаѕеd ѕеnѕаtіon to pain in both lower lіmbs, but deep tеndon rеflехеѕ аrе іntасt. Ніѕ vіtаl ѕіgnѕ include: blood рrеѕѕurе 122/84 mm Нg, tеmреrаturе 36.7°C (98.1°F), and rеѕріrаtorу rаtе 10/mіn. His ankle-brachial pressure index (ABPI) on the right side is 1.1. His blood sugar analyses are as follows:
Fasting 141 mg/ dL
2 hours Post-Prandial 235 mg/ dL
HbA1c 8.1%
Which of the following is the best measure to prevent the progression of the symptoms present in this patient?","{""A"": ""Use of atorvastatin"", ""B"": ""Femoro-Ileal artery bypass"", ""C"": ""Strict blood glucose control"", ""D"": ""Lower limb amputation""}",Strict blood glucose control,C,Med-QA
"A healthy 23-year-old male is undergoing an exercise stress test as part of his physiology class. If blood were to be sampled at different locations before and after the stress test, which area of the body would contain the lowest oxygen content at both time points?","{""A"": ""Inferior vena cava"", ""B"": ""Coronary sinus"", ""C"": ""Pulmonary artery"", ""D"": ""Pulmonary vein""}",Coronary sinus,B,Med-QA
"A medical research study is evaluating an investigational novel drug (medication 1) compared with standard therapy (medication 2) in patients presenting to the emergency department with myocardial infarction (MI). The study enrolled a total of 3,000 subjects, 1,500 in each study arm. Follow-up was conducted at 45 days post-MI. The following are the results of the trial:
Endpoints Medication 1 Medication 2 P-Value
Primary: death from cardiac causes 134 210 0.03
Secondary: hyperkalemia 57 70 0.4
What is the number needed to treat (NNT) for the primary endpoint of death from cardiac causes? (Round to the nearest whole number.)","{""A"": ""5"", ""B"": ""16"", ""C"": ""20"", ""D"": ""50""}",20,C,Med-QA
"A 29-year-old primigravid woman at 35 weeks' gestation is admitted to the hospital in labor. She has no history of serious medical illness. She has had an uncomplicated pregnancy. Her last ultrasound at 22 weeks' gestation was normal. On admission, fetal heartbeats cannot be detected by fetal doppler monitor. Ultrasound shows decreased amniotic fluid levels and no evidence of fetal movement, respiration, or heart activity. The patient gives birth to a 2296 g (5 lb 1 oz) male infant. Physical examination shows no signs of life. There are no visible malformations. The placenta is unremarkable. Which of the following is the most appropriate next step in management?","{""A"": ""Perform karyotyping of amniotic fluid"", ""B"": ""Recommend autopsy of the infant"", ""C"": ""Obtain photographs, x-ray imaging, and MRI"", ""D"": ""Obtain consent for parental genetic testing""}",Recommend autopsy of the infant,B,Med-QA
"A 56-year-old man with a history of hypertension presents to his physician with progressive fatigue and new onset muscle cramps. He has had no recent changes to his medication regimen, which includes hydrochlorothiazide, lisinopril, and amlodipine. His temperature is 98.0°F (36.7°C), blood pressure is 174/111 mmHg, pulse is 70/min, respirations are 12/min, and oxygen saturation is 98% on room air. The patient's cardiopulmonary and abdominal exams are unremarkable. Laboratory values are ordered as seen below.

Serum:
Na+: 138 mEq/L
Cl-: 100 mEq/L
K+: 3.3 mEq/L
HCO3-: 33 mEq/L
BUN: 20 mg/dL
Glucose: 129 mg/dL

What is the most likely underlying etiology of this patient's hypertension?","{""A"": ""Aldosterone excess"", ""B"": ""Catecholamine-secreting mass"", ""C"": ""Cortisol excess"", ""D"": ""Impaired kidney perfusion""}",Aldosterone excess,A,Med-QA
A 65-year-old man comes to the physician because of a 1-week history of yellowish discoloration of his skin and generalized pruritus. Examination shows jaundice of the skin and scleral icterus. Urinalysis shows an elevated concentration of bilirubin and a low concentration of urobilinogen. Which of the following is the most likely underlying cause of these findings?,"{""A"": ""Absent UDP-glucuronosyltransferase activity"", ""B"": ""Increased hemoglobin breakdown"", ""C"": ""Increased intestinal bilirubin reabsorption"", ""D"": ""Defective hepatic bile excretion""}",Defective hepatic bile excretion,D,Med-QA
"A 2-year-old boy is brought to the physician for evaluation of pallor and increasing lethargy for 2 days. One week ago, he experienced abdominal pain, vomiting, and bloody diarrhea that have since subsided. The patient's father states that they returned early from a 6-week roadtrip in Mexico because of these symptoms. His parents have been giving him oral rehydration solution. His immunizations are up-to-date. He appears pale. His temperature is 38.4°C (101.1°F), pulse is 130/min, respirations are 35/min, and blood pressure is 95/50 mm Hg. Examination shows scleral icterus. The abdomen is soft and nontender; there is no rebound or guarding. Bowel sounds are hyperactive. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8.5 g/dL
Mean corpuscular volume 94 μm3
Leukocyte count 18,000/mm3
Platelet count 45,000/mm3
Prothrombin time 12 sec
Partial thromboplastin time 34 sec
Serum
Urea nitrogen 28 mg/dL
Creatinine 1.6 mg/dL
Bilirubin
Total 2.5 mg/dL
Direct 0.1 mg/dL
Lactate dehydrogenase 1658 U/L
A blood smear shows schistocytes. Which of the following is the most likely diagnosis?""","{""A"": ""Henoch-Schönlein Purpura"", ""B"": ""Thrombotic thrombocytopenic purpura"", ""C"": ""Hemolytic uremic syndrome"", ""D"": ""Immune thrombocytopenic purpura""}",Hemolytic uremic syndrome,C,Med-QA
